credit_score,geography,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,exited
664,France,Male,55,8,0,2,Sim,Sim,139161.64,Nao
678,France,Female,32,9,0,1,Sim,Sim,148210.64,Nao
757,Spain,Male,33,5,77253.22,1,Nao,Sim,194239.63,Nao
416,Germany,Female,41,10,122189.66,2,Sim,Nao,98301.61,Nao
665,France,Female,34,1,96645.54,2,Nao,Nao,171413.66,Nao
777,France,Female,32,2,0,1,Sim,Nao,136458.19,Sim
543,France,Female,36,3,0,2,Nao,Nao,26019.59,Nao
506,France,Female,34,4,90307.62,1,Sim,Sim,159235.29,Nao
493,France,Female,46,4,0,2,Sim,Nao,1907.66,Nao
652,Spain,Female,75,10,0,2,Sim,Sim,114675.75,Nao
750,Spain,Male,22,3,121681.82,1,Sim,Nao,128643.35,Sim
729,France,Male,30,9,0,2,Sim,Nao,151869.35,Nao
646,France,Female,46,4,0,3,Sim,Nao,93251.42,Sim
635,Germany,Female,28,3,81623.67,2,Sim,Sim,156791.36,Nao
647,Spain,Female,44,5,0,3,Sim,Sim,174205.22,Sim
808,France,Male,45,7,118626.55,2,Sim,Nao,147132.46,Nao
524,France,Female,36,10,0,2,Sim,Nao,109614.57,Nao
769,France,Male,29,8,0,2,Sim,Sim,172290.61,Nao
730,Spain,Male,42,4,0,2,Nao,Sim,85982.47,Nao
515,Spain,Male,35,10,176273.95,1,Nao,Sim,121277.78,Nao
773,Spain,Male,41,9,102827.44,1,Nao,Sim,64595.25,Nao
814,Germany,Male,29,8,97086.4,2,Sim,Sim,197276.13,Nao
710,Spain,Male,22,8,0,2,Nao,Nao,99645.04,Nao
413,France,Male,34,9,0,2,Nao,Nao,6534.18,Nao
665,France,Female,40,6,0,1,Sim,Sim,161848.03,Nao
623,France,Female,44,6,0,2,Nao,Nao,167162.43,Nao
738,France,Male,31,9,82674.15,1,Sim,Nao,41970.72,Nao
528,Spain,Male,36,7,0,2,Sim,Nao,60536.56,Nao
670,Spain,Female,65,1,0,1,Sim,Sim,177655.68,Sim
622,Spain,Female,46,4,107073.27,2,Sim,Sim,30984.59,Sim
582,Germany,Male,32,1,88938.62,1,Sim,Sim,10054.53,Nao
785,Germany,Female,36,2,99806.85,1,Nao,Sim,36976.52,Nao
605,Spain,Male,33,5,150092.8,1,Nao,Nao,71862.79,Nao
479,Germany,Male,35,9,92833.89,1,Sim,Nao,99449.86,Sim
685,Germany,Male,30,3,90536.81,1,Nao,Sim,63082.88,Nao
538,Germany,Male,39,7,108055.1,2,Sim,Nao,27231.26,Nao
562,France,Male,42,2,100238.35,1,Nao,Nao,86797.41,Nao
675,Spain,Male,36,9,106190.55,1,Nao,Sim,22994.32,Nao
721,Germany,Male,28,9,154475.54,2,Nao,Sim,101300.94,Sim
628,Germany,Female,30,9,132351.29,2,Sim,Sim,74169.13,Nao
668,Germany,Female,37,6,167864.4,1,Sim,Nao,115638.29,Nao
506,France,Female,41,1,0,2,Sim,Nao,31766.3,Nao
524,Germany,Female,31,8,107818.63,1,Sim,Nao,199725.39,Sim
699,Germany,Male,34,4,185173.81,2,Sim,Nao,120834.48,Nao
828,France,Male,34,8,129433.34,2,Nao,Nao,38131.77,Nao
674,Spain,Male,39,6,120193.42,1,Nao,Nao,100130.95,Nao
656,France,Female,39,6,0,2,Sim,Nao,141069.88,Nao
684,Germany,Female,48,10,126384.42,1,Sim,Sim,198129.36,Nao
625,France,Female,28,3,0,1,Nao,Nao,183646.41,Nao
432,France,Male,42,9,152603.45,1,Sim,Nao,110265.24,Sim
549,France,Female,52,1,0,1,Nao,Sim,8636.05,Sim
625,Germany,Male,56,0,148507.24,1,Sim,Nao,46824.08,Sim
828,France,Female,41,7,0,2,Sim,Nao,171378.77,Nao
770,France,Male,24,9,101827.07,1,Sim,Nao,167256.35,Nao
758,France,Female,34,3,0,2,Sim,Sim,124226.16,Nao
795,Germany,Female,33,9,130862.43,1,Sim,Sim,114935.21,Nao
687,France,Male,38,9,122570.87,1,Sim,Sim,35608.88,Nao
686,France,Male,25,1,0,2,Nao,Sim,16459.37,Nao
789,Germany,Male,39,7,124828.46,2,Sim,Sim,124411.08,Nao
589,Germany,Female,50,5,144895.05,2,Sim,Sim,34941.23,Nao
461,Germany,Female,34,5,63663.93,1,Nao,Sim,167784.28,Nao
637,France,Male,40,2,133463.1,1,Nao,Sim,93165.34,Nao
584,Spain,Female,48,2,213146.2,1,Sim,Nao,75161.25,Sim
579,Spain,Female,35,1,129490.36,2,Nao,Sim,8590.83,Sim
756,Germany,Male,44,10,137452.09,1,Sim,Nao,189543.9,Nao
663,France,Male,34,7,0,2,Sim,Sim,180427.24,Nao
682,France,Female,43,5,125851.93,1,Sim,Sim,193318.33,Nao
793,Spain,Male,52,2,0,1,Sim,Nao,159123.82,Sim
691,France,Female,31,5,40915.55,1,Sim,Nao,126213.84,Sim
485,Spain,Female,21,5,113157.22,1,Sim,Sim,54141.5,Nao
635,Spain,Female,29,8,138296.94,2,Sim,Nao,141075.51,Nao
650,France,Male,37,5,106967.18,1,Nao,Nao,24495.03,Nao
735,France,Male,44,9,120681.63,1,Sim,Nao,74836.34,Nao
416,France,Male,32,0,0,2,Nao,Sim,878.87,Nao
754,Spain,Female,32,7,0,2,Sim,Nao,89520.75,Nao
535,France,Female,48,9,0,1,Sim,Nao,149892.79,Sim
716,Spain,Male,42,8,0,2,Sim,Nao,180800.42,Nao
539,France,Male,37,2,127609.59,1,Sim,Nao,98646.22,Nao
614,France,Female,43,6,0,2,Sim,Sim,109041.53,Nao
706,Spain,Male,57,7,0,1,Sim,Nao,17941.16,Sim
758,France,Female,33,7,0,2,Nao,Nao,82996.47,Nao
586,Spain,Female,28,2,0,2,Sim,Sim,92067.35,Nao
646,France,Female,73,6,97259.25,1,Nao,Sim,104719.66,Nao
631,Germany,Female,33,4,123246.7,1,Nao,Nao,112687.57,Nao
717,Spain,Female,22,6,101060.25,1,Nao,Sim,84699.56,Nao
684,France,Male,30,2,0,2,Sim,Nao,83473.82,Nao
800,France,Female,49,7,108007.36,1,Nao,Nao,47125.11,Nao
721,Spain,Female,36,2,0,2,Sim,Sim,106977.8,Nao
683,Spain,Male,29,0,133702.89,1,Sim,Nao,55582.54,Sim
660,Germany,Male,31,9,125189.75,2,Sim,Sim,139874.43,Nao
704,Germany,Female,24,7,113034.22,1,Sim,Nao,162503.48,Sim
615,Spain,Female,41,9,109013.23,1,Sim,Nao,196499.96,Nao
667,Spain,Female,39,2,0,2,Sim,Nao,40721.24,Sim
682,Germany,Male,24,9,57929.81,2,Nao,Nao,53134.3,Nao
484,France,Female,29,4,130114.39,1,Sim,Nao,164017.89,Nao
628,Germany,Male,27,5,95826.49,2,Sim,Nao,155996.96,Nao
480,Germany,Male,44,10,129608.57,1,Sim,Nao,5472.7,Sim
578,France,Male,30,4,169462.09,1,Sim,Nao,112187.11,Nao
512,France,Male,40,5,0,2,Sim,Sim,146457.83,Nao
484,Spain,Female,35,7,133868.21,1,Sim,Sim,27286.1,Nao
510,France,Female,30,0,0,2,Sim,Sim,130553.47,Nao
606,Germany,Male,36,5,190479.48,2,Nao,Nao,179351.89,Nao
597,Spain,Female,40,8,101993.12,1,Nao,Sim,94774.12,Nao
754,Germany,Female,55,3,161608.81,1,Sim,Nao,8080.85,Sim
850,Spain,Female,45,2,122311.21,1,Sim,Sim,19482.5,Nao
510,France,Male,65,2,0,2,Sim,Sim,48071.61,Nao
778,Germany,Female,45,1,162150.42,2,Sim,Nao,174531.27,Nao
636,France,Male,42,2,0,2,Sim,Sim,55470.78,Nao
804,France,Female,50,4,0,1,Sim,Sim,8546.87,Sim
514,France,Male,32,8,0,2,Sim,Nao,95857.18,Nao
730,France,Female,39,1,99010.67,1,Sim,Nao,194945.8,Nao
525,Spain,Female,37,0,0,1,Nao,Sim,131521.72,Nao
616,Spain,Male,30,5,0,2,Nao,Sim,196108.51,Nao
687,Germany,Female,34,7,111388.18,2,Sim,Nao,148564.76,Nao
715,France,Female,41,8,56214.85,2,Nao,Nao,92982.61,Sim
512,France,Female,36,3,84327.77,2,Sim,Nao,17675.36,Nao
479,France,Male,40,1,0,2,Nao,Nao,114996.43,Nao
601,France,Male,32,8,93012.89,1,Sim,Nao,86957.42,Nao
580,Spain,Male,29,9,61710.44,2,Sim,Nao,128077.8,Nao
807,France,Male,35,3,174790.15,1,Sim,Sim,600.36,Nao
616,Spain,Female,32,6,0,2,Sim,Sim,43001.46,Nao
721,Germany,Male,37,3,107720.64,1,Sim,Sim,158591.12,Nao
501,France,Male,57,10,0,2,Sim,Sim,47847.19,Nao
521,France,Male,35,6,96423.84,1,Sim,Nao,10488.44,Nao
850,Spain,Male,30,2,141040.01,1,Sim,Sim,5978.2,Nao
759,France,Male,42,4,105420.18,1,Nao,Sim,121409.06,Nao
516,Spain,Male,50,5,0,1,Nao,Sim,146145.93,Sim
711,France,Female,38,2,129022.06,2,Sim,Sim,14374.86,Sim
512,Spain,Male,33,3,176666.62,1,Sim,Nao,94670.77,Nao
550,France,Male,37,3,0,1,Sim,Sim,179670.31,Nao
608,Spain,Female,41,3,89763.84,1,Nao,Nao,199304.74,Sim
618,France,Male,34,5,134954.53,1,Sim,Sim,151954.39,Nao
643,France,Male,45,5,0,1,Sim,Nao,142513.5,Sim
671,France,Male,45,2,106376.85,1,Nao,Sim,158264.62,Nao
689,Germany,Male,33,2,161814.64,2,Sim,Nao,169381.9,Nao
603,France,Male,31,8,0,2,Sim,Sim,169915.02,Nao
620,France,Female,41,9,0,2,Nao,Nao,88852.47,Nao
676,France,Female,34,1,63095.01,1,Sim,Sim,40645.81,Nao
572,Germany,Male,26,4,118287.01,2,Nao,Nao,60427.3,Nao
668,Germany,Male,47,7,106854.21,1,Nao,Sim,157959.02,Sim
695,France,Male,46,7,49512.55,1,Sim,Nao,133007.34,Nao
730,Spain,Female,33,9,0,2,Nao,Nao,176576.62,Nao
807,France,Male,43,1,105799.32,2,Sim,Nao,34888.04,Sim
592,France,Male,54,8,0,1,Sim,Sim,28737.71,Sim
726,France,Female,31,9,114722.05,2,Sim,Sim,98178.57,Nao
514,Spain,Male,30,7,0,1,Nao,Sim,125010.24,Nao
567,France,Male,42,2,0,2,Sim,Sim,167984.61,Nao
850,France,Male,33,10,0,1,Sim,Nao,4861.72,Sim
671,Germany,Male,45,6,99564.22,1,Sim,Sim,108872.45,Sim
670,France,Male,37,4,170557.91,2,Sim,Nao,198252.88,Nao
694,France,Female,30,9,0,2,Sim,Sim,26960.31,Nao
547,Germany,Female,39,6,74596.15,3,Sim,Sim,85746.52,Sim
751,Germany,Male,50,2,96888.39,1,Sim,Nao,77206.25,Sim
594,Germany,Female,29,3,130830.22,1,Sim,Nao,61048.53,Nao
673,France,Male,72,1,0,2,Nao,Sim,111981.19,Nao
610,France,Male,40,0,0,2,Sim,Nao,62232.6,Nao
512,France,Female,37,1,0,2,Nao,Sim,156105.03,Nao
767,Germany,Male,20,3,119714.25,2,Nao,Sim,150135.38,Nao
585,France,Female,67,5,113978.97,2,Nao,Sim,93146.11,Nao
763,Germany,Male,42,6,100160.75,1,Sim,Nao,33462.94,Sim
712,France,Female,29,2,0,1,Sim,Sim,144375,Nao
539,Germany,Female,43,3,116220.5,3,Sim,Nao,55803.96,Sim
668,France,Female,46,2,0,3,Sim,Nao,89048.46,Sim
703,France,Male,28,2,81173.83,2,Nao,Sim,162812.16,Nao
662,Spain,Male,38,4,0,2,Sim,Nao,136259.65,Nao
725,Germany,Female,39,5,116803.8,1,Sim,Nao,124052.97,Nao
703,France,Male,37,8,105961.68,2,Nao,Sim,74158.8,Nao
659,Germany,Male,67,6,117411.6,1,Sim,Sim,45071.09,Sim
523,Spain,Male,34,7,0,2,Sim,Nao,62030.06,Nao
635,France,Female,40,10,123497.58,1,Sim,Nao,131953.23,Sim
772,Germany,Male,26,7,152400.51,2,Sim,Nao,79414,Nao
545,France,Female,26,1,0,2,Sim,Sim,199638.56,Nao
634,Germany,Male,24,8,103097.85,1,Sim,Sim,157577.29,Nao
739,Germany,Male,54,8,126418.14,1,Sim,Nao,134420.75,Sim
771,Germany,Female,36,5,77846.9,1,Nao,Nao,99805.99,Nao
587,Spain,Female,34,1,0,2,Sim,Sim,97932.68,Nao
681,France,Female,79,0,0,2,Nao,Sim,170968.99,Nao
544,Germany,Male,37,2,79731.91,1,Sim,Sim,57558.95,Nao
696,Spain,Male,28,8,0,1,Nao,Nao,176713.47,Nao
766,Spain,Male,41,0,0,2,Nao,Sim,34283.23,Nao
727,France,Male,34,10,0,2,Sim,Sim,198637.34,Nao
671,Germany,Female,34,6,37266.67,2,Nao,Nao,156917.12,Nao
693,France,Female,30,6,127992.25,1,Sim,Sim,50457.2,Nao
850,Germany,Male,38,3,54901.01,1,Sim,Sim,140075.55,Nao
732,Germany,Male,42,9,108748.08,2,Sim,Sim,65323.11,Nao
726,Spain,Female,48,6,99906.19,1,Sim,Nao,64323.24,Nao
557,France,Female,32,6,184686.41,2,Sim,Nao,14956.44,Nao
682,France,Female,26,0,110654.02,1,Nao,Sim,111879.21,Nao
738,Spain,Male,31,9,79019.8,1,Sim,Sim,18606.23,Nao
531,Spain,Female,36,9,99240.51,1,Sim,Nao,123137.01,Nao
498,France,Male,34,2,0,2,Sim,Sim,148528.24,Nao
651,France,Male,36,7,0,2,Sim,Nao,13898.31,Nao
549,Spain,Female,39,7,0,1,Nao,Nao,81259.25,Sim
791,Germany,Female,35,7,52436.2,1,Sim,Nao,161051.75,Nao
650,Spain,Male,41,9,0,2,Nao,Sim,191599.67,Nao
733,Germany,Male,34,3,100337.96,3,Sim,Nao,48559.19,Sim
811,Germany,Female,34,1,149297.19,2,Sim,Sim,186339.74,Nao
707,France,Male,30,8,0,2,Sim,Nao,33159.37,Nao
712,Germany,Male,28,4,145605.44,1,Nao,Sim,93883.53,Nao
706,Spain,Female,37,7,0,2,Sim,Sim,110899.3,Nao
756,France,Male,62,3,0,1,Sim,Sim,11199.04,Sim
777,France,Female,53,10,0,2,Sim,Nao,189992.97,Nao
646,France,Male,35,6,84026.86,1,Nao,Sim,164255.69,Nao
714,France,Male,46,1,0,1,Sim,Nao,152167.79,Sim
782,France,Male,39,8,0,2,Sim,Sim,33949.67,Nao
775,Spain,Male,29,10,0,2,Sim,Sim,68143.93,Nao
479,Germany,Male,35,4,138718.92,1,Sim,Sim,47251.79,Sim
807,France,Male,42,7,118274.71,1,Sim,Sim,25885.72,Nao
799,France,Female,22,8,174185.98,2,Nao,Sim,192633.85,Nao
675,France,Male,40,7,113208.86,2,Sim,Nao,34577.36,Nao
602,Spain,Male,29,5,103907.28,1,Sim,Nao,161229.84,Nao
475,France,Female,32,8,119023.28,1,Sim,Nao,100816.29,Nao
744,Spain,Female,26,5,166297.89,1,Sim,Sim,181694.44,Nao
588,Spain,Male,34,10,0,2,Sim,Nao,79078.91,Nao
703,Germany,Male,42,9,63227,1,Nao,Sim,137316.32,Nao
747,Spain,Female,41,5,94521.17,2,Sim,Nao,194926.86,Nao
583,France,Male,27,7,0,2,Sim,Nao,51285.49,Nao
750,Spain,Female,34,9,112822.26,1,Nao,Nao,150401.53,Sim
681,France,Male,38,3,0,2,Sim,Sim,112491.96,Nao
773,France,Male,25,2,135903.33,1,Sim,Nao,73656.38,Nao
714,France,Female,31,4,125169.26,1,Sim,Sim,106636.89,Nao
687,Spain,Female,44,7,0,3,Sim,Nao,155853.52,Sim
511,France,Male,58,0,149117.31,1,Sim,Sim,162599.51,Nao
627,France,Male,33,5,0,2,Sim,Sim,103737.82,Nao
694,France,Female,31,10,0,2,Sim,Nao,160990.27,Nao
616,Spain,Female,36,6,132311.71,1,Nao,Nao,15462.84,Nao
687,France,Male,35,8,0,2,Sim,Nao,10334.05,Nao
712,France,Female,33,6,0,2,Sim,Sim,190686.16,Nao
553,France,Male,33,4,118082.89,1,Nao,Nao,94440.45,Nao
667,France,Male,31,1,119266.69,1,Sim,Sim,28257.63,Nao
731,France,Male,43,2,0,1,Sim,Sim,170034.95,Sim
629,Germany,Male,35,7,156847.29,2,Sim,Nao,31824.29,Nao
614,France,Male,50,4,137104.47,1,Sim,Nao,127166.49,Sim
438,Germany,Male,31,8,78398.69,1,Sim,Nao,44937.01,Nao
652,France,Female,80,4,0,2,Sim,Sim,188603.07,Nao
729,Germany,Male,30,6,63669.42,1,Sim,Nao,145111.37,Nao
642,France,Male,38,3,0,2,Nao,Nao,171463.83,Nao
806,Germany,Female,59,0,135296.33,1,Sim,Nao,182822.5,Nao
744,Spain,Male,36,2,153804.44,1,Sim,Sim,87213.33,Nao
474,Spain,Male,37,3,0,2,Nao,Nao,57175.32,Nao
559,France,Male,49,2,147069.78,1,Sim,Nao,120540.83,Sim
706,Spain,Male,42,9,0,2,Sim,Sim,28714.34,Nao
628,Spain,Female,22,3,0,1,Sim,Nao,85426.28,Nao
429,France,Male,24,4,95741.75,1,Sim,Nao,46170.75,Nao
525,Spain,Female,57,2,145965.33,1,Sim,Sim,64448.36,Nao
680,France,Female,30,8,141441.75,1,Sim,Sim,16278.97,Nao
749,France,Male,40,1,139290.41,1,Sim,Nao,182855.42,Sim
763,France,Female,31,4,0,2,Nao,Nao,50404.72,Nao
734,France,Male,30,3,0,2,Sim,Nao,107640.25,Nao
716,France,Male,35,4,144428.87,1,Sim,Nao,134132.65,Nao
594,France,Male,35,2,0,2,Sim,Nao,103480.69,Nao
644,France,Female,46,9,95441.27,1,Sim,Nao,108761.05,Sim
671,Germany,Male,35,1,144848.74,1,Sim,Sim,179012.3,Nao
664,Germany,Male,26,7,116244.14,2,Sim,Sim,95145.14,Nao
656,France,Male,50,7,0,2,Nao,Sim,72143.44,Nao
667,Spain,Female,40,1,146502.07,1,Sim,Nao,19162.89,Nao
663,Germany,Male,44,2,117028.6,2,Nao,Sim,144680.18,Nao
584,Germany,Female,30,8,112013.81,1,Sim,Nao,177772.03,Sim
626,Spain,Female,37,6,108269.37,1,Sim,Nao,5597.94,Nao
485,France,Male,29,7,182123.79,1,Sim,Nao,116828.51,Sim
659,Germany,Female,32,3,150923.74,2,Nao,Sim,174652.51,Nao
649,France,Male,33,2,0,2,Sim,Nao,2010.98,Nao
805,Spain,Female,39,5,165272.13,1,Sim,Nao,14109.85,Sim
716,Germany,Female,39,10,115301.31,1,Sim,Nao,43527.4,Sim
642,Germany,Female,40,6,129502.49,2,Nao,Sim,86099.23,Sim
659,France,Male,31,4,118342.26,1,Nao,Nao,161574.19,Nao
545,Spain,Female,47,5,0,2,Sim,Sim,38970.14,Nao
543,France,Male,22,8,0,2,Nao,Nao,127587.22,Nao
718,France,Female,25,7,0,2,Sim,Nao,30380.12,Nao
840,France,Female,43,7,0,2,Sim,Nao,90908.95,Nao
630,Germany,Female,34,9,106937.05,2,Sim,Nao,138275.01,Nao
643,Germany,Male,59,3,170331.37,1,Sim,Sim,32171.79,Nao
654,Germany,Female,32,1,114510.85,1,Sim,Sim,126143.23,Nao
582,France,Male,39,5,0,2,Sim,Sim,129892.93,Nao
659,Spain,Male,32,3,107594.11,2,Sim,Sim,102416.84,Nao
762,Spain,Male,39,2,81273.13,1,Sim,Sim,18719.67,Nao
568,Spain,Female,32,7,169399.6,1,Sim,Nao,61936.22,Nao
670,Spain,Male,25,6,0,2,Sim,Sim,78358.94,Nao
613,France,Female,45,1,187841.99,2,Sim,Sim,147224.27,Nao
539,France,Male,30,0,0,2,Sim,Nao,160979.66,Nao
850,Spain,Female,57,8,126776.3,2,Sim,Sim,132298.49,Nao
522,Spain,Male,34,9,126436.29,1,Sim,Nao,174248.52,Sim
737,France,Male,41,1,101960.74,1,Sim,Sim,123547.28,Nao
520,France,Male,58,3,0,2,Nao,Sim,32790.02,Nao
706,Spain,Male,28,3,0,2,Nao,Sim,181543.67,Nao
643,Germany,Female,45,2,150842.93,1,Nao,Sim,2319.96,Sim
648,France,Female,50,9,102535.57,1,Sim,Sim,189543.19,Nao
443,Germany,Female,29,9,99027.61,2,Sim,Nao,10940.4,Nao
640,France,Male,68,9,0,2,Sim,Sim,199493.38,Nao
628,Spain,Female,33,3,0,1,Sim,Sim,188193.25,Nao
540,Germany,Female,42,9,87271.41,2,Sim,Nao,172572.64,Nao
460,Germany,Female,35,8,102742.91,2,Sim,Sim,189339.6,Nao
636,Germany,Male,34,2,40105.51,2,Nao,Sim,53512.16,Nao
593,France,Female,29,2,152265.43,1,Sim,Nao,34004.44,Nao
801,Spain,Male,42,4,141947.67,1,Sim,Sim,10598.29,Nao
640,Germany,Female,75,1,106307.91,2,Nao,Sim,113428.77,Nao
611,Germany,Male,31,0,107884.81,2,Sim,Sim,183487.98,Nao
802,Germany,Male,31,1,125013.72,1,Sim,Sim,187658.09,Nao
717,Germany,Male,35,7,58469.37,2,Sim,Sim,172459.39,Nao
769,France,Female,39,8,0,1,Nao,Sim,21016,Nao
745,Germany,Male,45,10,117231.63,3,Sim,Sim,122381.02,Sim
572,Spain,Male,35,4,152390.26,1,Sim,Nao,128123.66,Nao
629,Spain,Female,30,2,34013.63,1,Sim,Nao,19570.63,Nao
687,Spain,Female,39,2,0,3,Nao,Nao,188150.6,Sim
483,France,Female,50,9,0,2,Sim,Sim,111020.24,Nao
690,France,Male,36,7,101583.11,2,Sim,Nao,123775.15,Nao
492,Germany,Female,30,10,77168.87,2,Nao,Sim,146700.22,Nao
709,Germany,Male,28,8,124695.72,2,Sim,Nao,145251.35,Nao
705,Germany,Male,44,3,105934.96,1,Sim,Nao,82463.69,Nao
560,France,Female,66,9,0,1,Sim,Sim,15928.49,Nao
611,Spain,Male,46,6,0,2,Sim,Nao,45886.33,Nao
730,Spain,Male,62,2,0,2,Sim,Sim,186489.95,Nao
709,Spain,Female,45,2,0,2,Nao,Sim,162922.65,Nao
544,France,Female,21,10,161525.96,2,Sim,Nao,9262.77,Nao
712,Germany,Female,29,7,147199.07,1,Sim,Sim,84932.4,Nao
752,Germany,Male,38,3,183102.29,1,Sim,Sim,71557.12,Nao
648,Spain,Male,46,9,127209,2,Sim,Nao,77405.95,Sim
556,Spain,Male,38,8,0,2,Nao,Nao,417.41,Sim
594,Spain,Female,24,0,97378.54,1,Sim,Sim,71405.17,Nao
645,Germany,Female,37,2,136925.09,2,Nao,Sim,153400.24,Nao
557,France,Male,33,3,54503.55,1,Sim,Sim,371.05,Nao
